группа;фамилия;имя;возраст;пол
ПМ25-3;Иванов;Артём;18;13.2
БИ25-6;Смирнова;Мария;17;10.2
ИВТ25-1;Кузнецов;Кирилл;19;3.0
ЭК25-2;;Алина;18;18.0
ФКН25-7;Морозов;Егор;17;3.89
ПМ24-4;Васильева;Дарья;19;3.5
БИ24-2;Соколов;Максим;18;4.5
ИВТ24-5;Новикова;София;20;5.6
ЭК24-1;Волков;Павел;19;6.7
ФКН24-6;Фролова;Екатерина;20;7.8
ПМ23-3;Орлов;Денис;19;8.9
БИ23-7;Захарова;Анна;20;9.2
ИВТ23-2;Беляев;Иван;21;4.5
ЭК23-4;Комарова;Ольга;20;43.4
ФКН23-1;Матвеев;Степан;21;34.4
ПМ22-5;Андреева;Елена;22;34.4
БИ22-6;Лебедев;Дмитрий;22;34.4
ИВТ22-3;Крылова;Татьяна;23;3.4
ЭК22-4;Гаврилов;Роман;21;54.3
ФКН22-2;Павлова;Кристина;22;3.5
ПМ25-3;Громов;Владислав;18;3.4
БИ25-4;Киселёва;Валерия;19;2.3
ИВТ24-3;Никитин;Данил;20;76.5
ЭК23-6;Богданова;Ирина;21;6.5
ФКН22-7;Чернов;Виктор;23;6.4
